,,,Hours:,01,,02,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,00
,,,Date,"EPGALP01 Index",Date,"EPGALP02 Index",Date,"EPGALP03 Index",Date,"EPGALP04 Index",Date,"EPGALP05 Index",Date,"EPGALP06 Index",Date,"EPGALP07 Index",Date,"EPGALP08 Index",Date,"EPGALP09 Index",Date,"EPGALP10 Index",Date,"EPGALP11 Index",Date,"EPGALP12 Index",Date,"EPGALP13 Index",Date,"EPGALP14 Index",Date,"EPGALP15 Index",Date,"EPGALP16 Index",Date,"EPGALP17 Index",Date,"EPGALP18 Index",Date,"EPGALP19 Index",Date,"EPGALP20 Index",Date,"EPGALP21 Index",Date,"EPGALP22 Index",Date,"EPGALP23 Index",Date,"EPGALP24 Index",Date,"EPGALP00 Index"
,,,2014/04/02,32,2014/04/02,30,2014/04/02,"29,8",2014/04/02,26,2014/04/02,33,2014/04/02,39,2014/04/02,"49,9",2014/04/01,"66,5",2014/04/02,47,2014/04/02,44,2014/04/01,43,2014/04/01,36,2014/03/29,17,2014/04/01,35,2014/03/30,"30,75",2014/03/29,"12,11",2014/03/31,35,2014/03/25,55,2014/03/29,36,2014/03/25,"43,73",2014/03/26,35,2014/03/25,33,2014/03/29,"25,5",,,2014/04/02,"34,5"
,,,2014/04/01,"25,2",2014/04/01,28,2014/04/01,26,2014/04/01,28,2014/04/01,35,2014/04/01,43,2014/04/01,"51,5",2014/03/31,80,2014/04/01,"57,35",2014/04/01,"50,9",2014/03/31,"47,75",2014/03/31,39,2014/03/26,"37,51",2014/03/31,"34,91",2014/03/29,"9,5",2014/03/27,33,2014/03/26,35,2014/03/24,"51,19",2014/03/28,44,2014/03/19,"26,1",2014/03/25,"33,35",2014/03/24,"40,53",2014/03/28,"29,63",,,2014/04/01,31
,,,2014/03/31,"24,6",2014/03/31,25,2014/03/31,"26,25",2014/03/31,"27,5",2014/03/31,28,2014/03/31,44,2014/03/31,54,2014/03/30,"53,39",2014/03/31,55,2014/03/31,"47,2",2014/03/30,31,2014/03/30,31,2014/03/25,"33,73",2014/03/30,31,2014/03/26,27,2014/03/26,"36,23",2014/03/25,50,2014/03/23,"53,5",2014/03/26,86,2014/03/15,25,2014/03/23,40,2014/03/23,"42,7",2014/03/27,"35,84",,,2014/03/31,29
,,,2014/03/30,31,2014/03/30,33,2014/03/30,25,2014/03/30,20,2014/03/30,"22,5",2014/03/30,"37,55",2014/03/30,"43,1",2014/03/29,32,2014/03/30,50,2014/03/30,"41,64",2014/03/29,23,2014/03/29,21,2014/03/24,33,2014/03/29,11,2014/03/25,"35,21",2014/03/25,"41,5",2014/03/20,"36,63",2014/03/21,"39,04",2014/03/25,"81,5",2014/03/14,"25,54",2014/03/19,"27,22",2014/03/22,"41,51",2014/03/26,23,,,2014/03/30,32
,,,2014/03/29,"26,5",2014/03/29,"26,6",2014/03/29,"26,9",2014/03/29,24,2014/03/29,26,2014/03/29,"26,5",2014/03/29,"30,98",2014/03/28,"36,5",2014/03/29,"27,54",2014/03/29,"22,51",2014/03/26,"38,5",2014/03/28,28,2014/03/23,30,2014/03/28,"23,68",2014/03/24,"39,35",2014/03/23,"41,96",2014/03/19,"37,5",2014/03/20,"43,83",2014/03/24,"79,95",2014/03/13,39,2014/03/18,"30,5",2014/03/21,"37,9",2014/03/25,32,,,2014/03/29,"26,22"
,,,2014/03/28,"28,13",2014/03/28,30,2014/03/28,30,2014/03/28,26,2014/03/28,26,2014/03/28,29,2014/03/28,37,2014/03/27,43,2014/03/28,30,2014/03/28,"29,5",2014/03/25,32,2014/03/27,"32,68",2014/03/22,"27,3",2014/03/27,29,2014/03/23,"37,98",2014/03/22,22,2014/03/15,"9,43",2014/03/18,"38,45",2014/03/23,"75,2",2014/03/05,51,2014/03/17,"28,41",2014/03/19,"25,9",2014/03/24,"35,54",,,2014/03/28,29
,,,2014/03/27,22,2014/03/27,24,2014/03/27,"25,25",2014/03/27,"25,25",2014/03/27,"26,55",2014/03/27,"43,45",2014/03/27,"47,87",2014/03/26,30,2014/03/27,"34,07",2014/03/26,"37,4",2014/03/24,36,2014/03/26,"36,98",2014/03/20,29,2014/03/26,23,2014/03/22,"26,9",2014/03/20,"32,37",2014/03/14,"18,81",2014/03/16,43,2014/03/21,"40,01",2014/03/03,"55,5",2014/03/15,"19,26",2014/03/18,"24,41",2014/03/23,"32,81",,,2014/03/27,"22,75"
,,,2014/03/26,27,2014/03/26,"21,5",2014/03/26,"20,5",2014/03/26,25,2014/03/26,"24,05",2014/03/26,"35,98",2014/03/26,30,2014/03/25,"47,75",2014/03/26,"38,2",2014/03/25,"33,88",2014/03/23,"28,2",2014/03/25,32,2014/03/19,28,2014/03/25,"34,23",2014/03/20,31,2014/03/18,28,2014/03/13,34,2014/03/15,"22,78",2014/03/20,"56,4",2014/02/28,39,2014/03/14,"23,29",2014/03/17,"29,5",2014/03/22,"34,96",,,2014/03/26,25
,,,2014/03/25,33,2014/03/25,"34,5",2014/03/25,29,2014/03/25,"37,48",2014/03/25,"28,51",2014/03/25,"47,8",2014/03/25,"52,9",2014/03/24,"52,5",2014/03/25,"33,32",2014/03/24,"41,2",2014/03/20,30,2014/03/24,32,2014/03/17,"31,3",2014/03/24,35,2014/03/16,33,2014/03/15,"0,06",2014/03/11,"33,94",2014/03/14,"29,6",2014/03/18,"53,5",2014/02/26,49,2014/03/13,30,2014/03/16,40,2014/03/19,"12,34",,,2014/03/25,"35,9"
,,,2014/03/24,31,2014/03/24,"24,25",2014/03/24,"25,5",2014/03/24,29,2014/03/24,33,2014/03/24,42,2014/03/24,"47,45",2014/03/23,"42,52",2014/03/24,"46,99",2014/03/23,"39,3",2014/03/19,"34,5",2014/03/22,33,2014/03/16,30,2014/03/23,"39,08",2014/03/15,"-6,25",2014/03/14,"11,26",2014/03/05,43,2014/03/13,42,2014/03/16,55,2014/02/25,44,2014/03/08,30,2014/03/15,"19,35",2014/03/18,"17,34",,,2014/03/24,"27,5"
